Column,Description
Unemployment ,Census variable: unemp00; total numer of persons unemployed in census tract 
College Educated,Census variable: col00; number of college educated persons in census tract
Household Income,Census variable: hinc00; total household income
Median Home Value,Census variable: mhmval00; average home value of census tract
Total families,Census variable: family00; total number of families of census tract
Female Headed Households,Census variable: fhh00; total number of solely female headed households of census tract
New Markets Tax Credit (NMTC),U.S. government tax program to promote economic investment in low income communities 
