"","cbsa","id2","treatment","rent00","hinc00","pnhwht12","pnhblk12","phisp12","ppov12","punemp12","hinc12","hincb12","hincw12","phs12","pcol12","pown12","mhmval12","Treated","Control"
"22051025102","35380",22051025102,0,317,56445,66.58000183,16.96999931,7.670000076,9.210000038,5.570000172,76016,34500,94639,34.88000107,35.06999969,79.29000092,194900,0,1
"22051025103","35380",22051025103,0,214,52031,40.45000076,40.65000153,9,23.5,7.25,46682,45091,65536,51.33000183,17.06999969,85.18000031,157200,0,1
"22051025104","35380",22051025104,0,536,40953,43.83000183,29.5,20.43000031,12.85999966,2.710000038,52305,54476,57845,53.40000153,15.80000019,52.97999954,140300,0,1
"22051025201","35380",22051025201,0,939,23261,19.23999977,47.38000107,29.45000076,44.06999969,4.199999809,24173,13042,52500,71.45999908,5.309999943,26.46999931,124600,0,1
"22051025202","35380",22051025202,0,1602,33839,33.11999893,35.43000031,27.87000084,25.35000038,12.56000042,35910,22043,54904,47.25999832,15.26000023,37.02999878,156800,0,1
"22051025300","35380",22051025300,0,391,34410,55.41999817,7.579999924,29.88999939,17.57999992,6.519999981,35847,22604,48692,57.83000183,19.65999985,49.18000031,175700,0,1
"22051025400","35380",22051025400,0,1043,31250,31.70000076,30.87000084,31.68000031,26.84000015,7.309999943,45293,43625,53403,52.59999847,14.69999981,46.65000153,130900,0,1
"22051025500","35380",22051025500,0,498,23969,20.80999947,54.65000153,15.53999996,37.65000153,15.15999985,26313,30417,26781,81.83999634,5.309999943,46.29999924,96800,0,1
"22051025600","35380",22051025600,0,294,29261,69.98999786,18.70000076,7.519999981,24.73999977,6.309999943,37206,15568,44773,43.52000046,31.09000015,42.61999893,150900,0,1
"22051025700","35380",22051025700,0,384,20556,13.09000015,73,3.660000086,36.15999985,20.27000046,23423,22609,28672,70.94999695,12.94999981,45.15000153,126000,0,1
"22051025800","35380",22051025800,0,420,28634,48.68000031,49.25999832,1.549999952,38.43000031,12.97999954,39375,15052,48750,66.09999847,14.01000023,49.36000061,159900,0,1
"22051025900","35380",22051025900,1,745,23581,51.54999924,41.95000076,3.799999952,24.27000046,6.210000038,25968,16366,41852,65.19999695,11.64000034,35.63999939,179500,1,0
"22051026000","35380",22051026000,1,367,29075,60.70000076,20.73999977,13.63000011,19.19000053,10.10999966,43797,19779,45141,73.30000305,5.050000191,60.27999878,127300,1,0
"22051026100","35380",22051026100,0,1091.287772,20013.83215,30.69000053,41.04000092,18.70999908,34.81000137,7.409999847,28681,23490,43438,67.27999878,9.609999657,44.97999954,123100,0,1
"22051026200","35380",22051026200,0,279.7122192,19508.00042,1.50999999,95.47000122,0.409999996,37.31000137,10.77000046,29557,29453,60451.1686363636,75.63999939,9.289999962,53.18000031,89800,0,1
"22051026300","35380",22051026300,0,286,28703,86.31999969,9.409999847,2.880000114,19.02000046,3.069999933,42656,17656,50196,54.09000015,15.30000019,69.26000214,160500,0,1
"22051026400","35380",22051026400,0,137,43824,86.5,6.289999962,3.119999886,13.93000031,5.53000021,52391,78804,44750,58.38000107,5.489999771,67.76999664,141700,0,1
"22051026500","35380",22051026500,0,473.7505188,18463.99965,72.69000244,18.73999977,5.139999866,18.54000092,6.150000095,27880,18272,35873,64.02999878,14.96000004,43.40000153,169400,0,1
"22051026600","35380",22051026600,0,278,27583,71.33999634,7.820000172,14.22999954,17.04000092,11.10999966,36754,23750,40231,68.73000336,11.23999977,53.84000015,132200,0,1
"22051026700","35380",22051026700,0,180.9179431,30738.53601,45.84999847,29.79000092,13.56999969,23.09000015,1.440000057,29200,26902,35054,72.76999664,11.68000031,78.08999634,121800,0,1
"22051026800","35380",22051026800,0,414.082049,21829.83578,18.73999977,69.66000366,6.539999962,36.20000076,12.28999996,30413,27414,39549,66.63999939,9.739999771,61.31000137,101600,0,1
"22051026900","35380",22051026900,0,574.5474854,22470.00082,1,98.26000214,0,32.86000061,12.76000023,22889,23403,21136,68.76000214,6.820000172,57.68999863,103500,0,1
"22051027000","35380",22051027000,0,602.4758544,34404.92817,41.83000183,38.63000107,4.820000172,17.57999992,4.460000038,36012,31550,36224,67.40000153,6.929999828,70.58999634,147600,0,1
"22051027100","35380",22051027100,0,743.3519979,29273.54038,96.34999847,2.079999924,0.790000021,17.77000046,16.36000061,43548,9491,44919,67.02999878,6.519999981,72.66000366,139500,0,1
"22051027200","35380",22051027200,0,1000.18057,26004.50009,71.48999786,23.03000069,2.380000114,19.75,10.81000042,32071,20904,37589,71.77999878,5.050000191,57.70999908,126100,0,1
"22051027501","35380",22051027501,0,246,39148,52.77999878,40.65000153,5.130000114,10.55000019,14.63000011,48589,44318,49953,68.26000214,7.5,66.19999695,139400,0,1
"22051027502","35380",22051027502,0,162,24569,0.050000001,99.26999664,0,23.53000069,10.02999973,31413,31576,60451.1686363636,64.58999634,8.420000076,80.72000122,106800,0,1
"22051027601","35380",22051027601,0,240.9972076,35681.99902,48.88000107,33.59000015,6,17.27000046,7.360000134,49898,54543,49406,67.36000061,7.630000114,81.09999847,108800,0,1
"22051027602","35380",22051027602,1,520.4468756,18567.25815,12.34000015,71.43000031,4.860000134,33.5,26.01000023,29245,27273,26898,74.76999664,4.099999905,58.06000137,61900,1,0
"22051027701","35380",22051027701,1,499,30996,1.039999962,96.93000031,1.899999976,34.43999863,8.930000305,27014,26847,11719,70.76999664,3.160000086,59.20000076,124300,1,0
"22051027703","35380",22051027703,0,402.9793117,31494.38079,34.31000137,45.68000031,13.25,26.43000031,7.369999886,38909,30878,47298,67.69999695,5.039999962,69.76000214,117500,0,1
"22051027803","35380",22051027803,0,1120,27829,23.38999939,46.93999863,26.85000038,39.86999893,2.700000048,24539,22681,40361,66.66999817,4.210000038,35.56000137,122400,0,1
"22051027804","35380",22051027804,0,480,63986,44.97999954,31.38999939,14.97999954,0.720000029,1.929999948,90313,81979,102713,24.27000046,43.11000061,75.44999695,279200,0,1
"22051027805","35380",22051027805,0,590,51745,23.80999947,50.13000107,9.039999962,15.05000019,8.68999958,65802,57639,73259,49.97999954,22.54000092,86.72000122,174300,0,1
"22051027806","35380",22051027806,0,369.1506042,48738.99912,59.13000107,24.5,9.159999847,18.55999947,5.53000021,53114,40750,54331,59.86000061,15.10000038,82.29000092,147300,0,1
"22051027807","35380",22051027807,0,121.0583673,60235.32767,61.15999985,19.81999969,7.619999886,3.900000095,4.619999886,71422,63828,69362,49.36000061,20.20999908,94.88999939,209000,0,1
"22051027809","35380",22051027809,0,163,41434,53.86999893,33.41999817,4.590000153,14.85000038,5.599999905,54188,45391,61426,61.18999863,10.64999962,87.98000336,148100,0,1
