cbsaname,cbsa,shapefile
"Joplin, MO",27900,joplin-mo-dorling-v2.geojson
"Kalamazoo-Portage, MI",28020,kalamazoo-portage-mi-dorling-v2.geojson
"Kankakee-Bradley, IL",28100,kankakee-bradley-il-dorling-v2.geojson
"Kansas City, MO-KS",28140,kansas-city-mo-ks-dorling-v2.geojson
"Killeen-Temple-Fort Hood, TX",28660,killeen-temple-fort-hood-tx-dorling-v2.geojson
"Kingsport-Bristol-Bristol, TN-VA",28700,kingsport-bristol-bristol-tn-va-dorling-v2.geojson
"Kingston, NY",28740,kingston-ny-dorling-v2.geojson
"Knoxville, TN",28940,knoxville-tn-dorling-v2.geojson
"Kokomo, IN",29020,kokomo-in-dorling-v2.geojson
"La Crosse, WI-MN",29100,la-crosse-wi-mn-dorling-v2.geojson
"Lafayette, IN",29140,lafayette-in-dorling-v2.geojson
"Lafayette, LA",29180,lafayette-la-dorling-v2.geojson
"Lake Charles, LA",29340,lake-charles-la-dorling-v2.geojson
"Lake County-Kenosha County, IL-WI",29404,lake-county-kenosha-county-il-wi-dorling-v2.geojson
"Lakeland, FL",29460,lakeland-fl-dorling-v2.geojson
"Lancaster, PA",29540,lancaster-pa-dorling-v2.geojson
"Lansing-East Lansing, MI",29620,lansing-east-lansing-mi-dorling-v2.geojson
"Laredo, TX",29700,laredo-tx-dorling-v2.geojson
"Las Cruces, NM",29740,las-cruces-nm-dorling-v2.geojson
"Las Vegas-Paradise, NV",29820,las-vegas-paradise-nv-dorling-v2.geojson
"Lawrence, KS",29940,lawrence-ks-dorling-v2.geojson
"Lawton, OK",30020,lawton-ok-dorling-v2.geojson
"Lebanon, PA",30140,lebanon-pa-dorling-v2.geojson
"Lewiston, ID-WA",30300,lewiston-auburn-me-dorling-v2.geojson
"Lewiston-Auburn, ME",30340,lewiston-id-wa-dorling-v2.geojson
"Lexington-Fayette, KY",30460,lexington-fayette-ky-dorling-v2.geojson
"Lima, OH",30620,lima-oh-dorling-v2.geojson
"Lincoln, NE",30700,lincoln-ne-dorling-v2.geojson
"Little Rock-North Little Rock, AR",30780,little-rock-north-little-rock-ar-dorling-v2.geojson
"Logan, UT-ID",30860,logan-ut-id-dorling-v2.geojson
"Longview, TX",30980,longview-tx-dorling-v2.geojson
"Los Angeles-Long Beach-Santa Ana, CA",31084,los-angeles-long-beach-santa-ana-ca-dorling-v2.geojson
"Louisville, KY-IN",31140,louisville-ky-in-dorling-v2.geojson
"Lubbock, TX",31180,lubbock-tx-dorling-v2.geojson
"Lynchburg, VA",31340,lynchburg-va-dorling-v2.geojson
"Macon, GA",31420,macon-ga-dorling-v2.geojson
"Madera, CA",31460,madera-ca-dorling-v2.geojson
"Manchester-Nashua, NH",31700,manchester-nashua-nh-dorling-v2.geojson
"Mansfield, OH",31900,mansfield-oh-dorling-v2.geojson
"McAllen-Edinburg-Pharr, TX",32580,mcallen-edinburg-pharr-tx-dorling-v2.geojson
"Medford, OR",32780,medford-or-dorling-v2.geojson
"Memphis, TN-MS-AR",32820,memphis-tn-ms-ar-dorling-v2.geojson
"Merced, CA",32900,merced-ca-dorling-v2.geojson
"Miami-Miami Beach-Kendall, FL",33124,miami-miami-beach-kendall-fl-dorling-v2.geojson
"Michigan City-La Porte, IN",33140,michigan-city-la-porte-in-dorling-v2.geojson
"Midland, TX",33260,midland-tx-dorling-v2.geojson
"Milwaukee-Waukesha-West Allis, WI",33340,
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,minneapolis-st.-paul-bloomington-mn-wi-dorling-v2.geojson
"Missoula, MT",33540,missoula-mt-dorling-v2.geojson
"Mobile, AL",33660,mobile-al-dorling-v2.geojson
"Modesto, CA",33700,modesto-ca-dorling-v2.geojson
"Monroe, LA",33740,monroe-la-dorling-v2.geojson
"Monroe, MI",33780,monroe-mi-dorling-v2.geojson
"Montgomery, AL",33860,montgomery-al-dorling-v2.geojson
"Morristown, TN",34100,morristown-tn-dorling-v2.geojson
"Muncie, IN",34620,muncie-in-dorling-v2.geojson
"Muskegon-Norton Shores, MI a",34740,muskegon-norton-shores-mi----a-dorling-v2.geojson
"Myrtle Beach-Conway-North Myrtle Beach,",34820,myrtle-beach-conway-north-myrtle-beach-dorling-v2.geojson
"Napa, CA",34900,napa-ca-dorling-v2.geojson
"Naples-Marco Island, FL A",34940,naples-marco-island-fl---a-dorling-v2.geojson
"Nashville-Davidson--Murfreesboro, TN",34980,nashville-davidson--murfreesboro-tn-dorling-v2.geojson
"Nassau-Suffolk, NY",35004,nassau-suffolk-ny-dorling-v2.geojson
"New Haven-Milford, CT",35300,new-haven-milford-ct-dorling-v2.geojson
"New Orleans-Metairie-Kenner, LA",35380,new-orleans-metairie-kenner-la-dorling-v2.geojson
"New York-Wayne-White Plains, NY-NJ",35644,new-york-wayne-white-plains-ny-nj-dorling-v2.geojson
"Newark-Union, NJ-PA",35084,newark-union-nj-pa-dorling-v2.geojson
"Niles-Benton Harbor, MI",35660,niles-benton-harbor-mi-dorling-v2.geojson
"Norwich-New London, CT",35980,norwich-new-london-ct-dorling-v2.geojson
"Oakland-Fremont-Hayward, CA",36084,oakland-fremont-hayward-ca-dorling-v2.geojson
"Ocala, FL",36100,ocala-fl-dorling-v2.geojson
"Ocean City, NJ",36140,ocean-city-nj-dorling-v2.geojson
"Odessa, TX",36220,odessa-tx-dorling-v2.geojson
"Ogden-Clearfield, UT",36260,ogden-clearfield-ut-dorling-v2.geojson
"Oklahoma City, OK",36420,oklahoma-city-ok-dorling-v2.geojson
"Omaha-Council Bluffs, NE-IA",36540,omaha-council-bluffs-ne-ia-dorling-v2.geojson
"Orlando, FL",36740,orlando-fl-dorling-v2.geojson
"Owensboro, KY",36980,owensboro-ky-dorling-v2.geojson
"Oxnard-Thousand Oaks-Ventura, CA",37100,oxnard-thousand-oaks-ventura-ca-dorling-v2.geojson
"Palm Bay-Melbourne-Titusville, FL",37340,palm-bay-melbourne-titusville-fl-dorling-v2.geojson
"Panama City-Lynn Haven, FL",37460,panama-city-lynn-haven-fl-dorling-v2.geojson
"Parkersburg-Marietta, WV-OH",37620,parkersburg-marietta-wv-oh-dorling-v2.geojson
"Pascagoula, MS",37700,pascagoula-ms-dorling-v2.geojson
"Pensacola-Ferry Pass-Brent, FL",37860,pensacola-ferry-pass-brent-fl-dorling-v2.geojson
"Peoria, IL",37900,peoria-il-dorling-v2.geojson
"Philadelphia, PA",37964,philadelphia-pa-dorling-v2.geojson
"Phoenix-Mesa-Scottsdale, AZ",38060,phoenix-mesa-scottsdale-az-dorling-v2.geojson
"Pine Bluff, AR",38220,pine-bluff-ar-dorling-v2.geojson
"Pittsburgh, PA",38300,pittsburgh-pa-dorling-v2.geojson
"Pittsfield, MA",38340,pittsfield-ma-dorling-v2.geojson
"Pocatello, ID",38540,pocatello-id-dorling-v2.geojson
